#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-08-14T16:49:54 [V7.32.4]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO protocol=ASU 
#INFO request_date=2023-08-14T16:49:54 
#INFO request_post=https://vizier.cds.unistra.fr//viz-bin/asu-txt 
#-oc.form=sexa
#-out.max=1000
#-order=I
#-out.src=J/ApJ/785/63/table2
#-nav=cat:J/ApJ/785/63&tab:{J/ApJ/785/63/table2}&key:source=J/ApJ/785/63&HTTPPRM:&&-ref=VIZ64da5a1f2fbadc&-out.max=1000&-out.form=ascii table&-oc.form=sexa&-order=I&-out=R0&-out=V0&-out=r&-out=Vc&-out=e_Vc&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/785/63/table2
#-source=J/ApJ/785/63/table2
#-out=R0
#-out=V0
#-out=r
#-out=Vc
#-out=e_Vc
#
#INFO contact=cds-question@unistra.fr 
#INFO version=7.32.4 
#INFO -out.max=1000 

#RESOURCE=yCat_17850063
#Name: J/ApJ/785/63
#Title: Rotation curve of the Milky Way (Bhattacharjee+, 2014)
#INFO ivoid=ivo://cds.vizier/j/apj/785/63    
#INFO publisher=CDS    
#INFO creator=Bhattacharjee P.    
#INFO related_resource=bibcode:2014ApJ...785...63B    
#INFO landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/785/63    
#INFO publication_id=doi:10.26093/cds/vizier.17850063    
#INFO publication_date=2017-09-04    
#INFO curation_level=RESEARCH    
#INFO rights=https://cds.unistra.fr/vizier-org/licences_vizier.html    
#Table J_ApJ_785_63_table2:
#Name: J/ApJ/785/63/table2
#Title: Rotation Curve of the Milky Way
#---Details of Columns:
    R0 (kpc)    (F4.1)  Sun's distance from Galactic center [ucd=pos.distance;pos.galactocentric]
    V0 (km/s)   (I3)    Sun's circular rotation velocity around Galactic center [ucd=phys.veloc.rotat]
    r (kpc)     (F6.2)  Distance from Galactic center [ucd=pos.distance;pos.galactocentric]
    Vc (km/s)   (F6.2)  Circular velocity [ucd=phys.veloc]
    e_Vc (km/s) (F6.2)  The 1-{sigma} error in Vc [ucd=stat.error;pos.cartesian.y]
---- --- ------ ------ ------
 8.3 244   4.51 247.88   2.99
 8.3 244   5.53 253.14   1.69
 8.3 244   6.50 270.95   2.19
 8.3 244   7.56 267.80   0.96
 8.3 244   8.34 270.52   0.66
 8.3 244   9.45 235.58   8.44
 8.3 244  10.50 249.72  13.44
 8.3 244  11.44 261.96  11.71
 8.3 244  12.51 284.30  17.50
 8.3 244  13.53 271.54  15.57
 8.3 244  14.59 251.43  25.60
 8.3 244  16.05 320.70  25.27
 8.3 244  18.64 286.46 101.18
 8.3 244  26.30 189.64   6.74
 8.3 244  28.26 237.99  11.54
 8.3 244  29.51 209.82   9.16
 8.3 244  32.04 179.14   6.65
 8.3 244  33.99 170.37   6.93
 8.3 244  36.49 175.92   6.62
 8.3 244  38.41 191.57  11.73
 8.3 244  40.42 197.59  14.12
 8.3 244  42.40 192.79   5.92
 8.3 244  44.49 213.22  17.17
 8.3 244  45.99 179.39  11.23
 8.3 244  48.06 213.03  24.72
 8.3 244  49.49 178.57  17.63
 8.3 244  51.39 183.31  23.58
 8.3 244  53.89 157.89  19.57
 8.3 244  56.89 191.76  24.35
 8.3 244  57.98 210.72  29.81
 8.3 244  60.92 168.02  25.67
 8.3 244  64.73 206.47  36.27
 8.3 244  69.31 203.62  40.89
 8.3 244  72.96 190.53  40.98
 8.3 244  76.95 222.72  74.37
 8.3 244  81.13 186.29  66.53
 8.3 244  84.90 122.25  36.46
 8.3 244  89.35 143.95  29.49
 8.3 244  92.44 154.66  67.23
 8.3 244  97.41 184.00  72.86
 8.3 244 100.72 108.68  40.99
 8.3 244 106.77 137.15  53.17
 8.3 244 119.98 150.18  25.46
 8.3 244 189.49 125.01  37.32
 8.5 220   0.19 227.21   9.95
 8.5 220   0.35 265.17   8.81
 8.5 220   0.63 252.45  13.31
 8.5 220   1.63 212.09   6.10
 8.5 220   2.56 211.79   1.52
 8.5 220   3.52 214.08   2.62
 8.5 220   4.52 233.16   3.43
 8.5 220   5.58 236.38   1.79
 8.5 220   6.55 250.82   2.23
 8.5 220   7.57 247.49   0.85
 8.5 220   8.42 247.03   0.62
 8.5 220   9.50 210.12   8.28
 8.5 220  10.46 209.79  12.54
 8.5 220  11.42 225.16  12.25
 8.5 220  12.51 245.87  21.24
 8.5 220  13.36 247.75  19.96
 8.5 220  14.44 216.31  14.91
 8.5 220  16.19 291.96  25.91
 8.5 220  19.14 183.02  54.32
 8.5 220  26.30 193.97   6.50
 8.5 220  28.27 232.77  11.34
 8.5 220  29.51 200.52   7.49
 8.5 220  32.02 168.78   4.34
 8.5 220  34.01 170.12   7.23
 8.5 220  35.99 199.64  13.59
 8.5 220  38.08 176.82   7.05
 8.5 220  40.45 199.10  14.07
 8.5 220  42.43 188.84   7.21
 8.5 220  44.49 212.10  17.78
 8.5 220  45.99 182.11  11.14
 8.5 220  48.05 206.71  23.12
 8.5 220  49.53 181.39  18.16
 8.5 220  51.93 175.63  19.33
 8.5 220  54.38 153.73  22.55
 8.5 220  56.94 191.44  24.88
 8.5 220  57.99 208.52  34.05
 8.5 220  60.93 169.75  25.57
 8.5 220  64.70 204.62  36.72
 8.5 220  69.27 204.21  39.94
 8.5 220  73.03 195.35  42.13
 8.5 220  77.01 232.18  77.77
 8.5 220  81.23 176.35  62.77
 8.5 220  85.04 124.68  37.32
 8.5 220  89.44 137.89  29.83
 8.5 220  92.56 158.21  68.98
 8.5 220  97.58 188.51  74.84
 8.5 220 100.87 105.18  39.57
 8.5 220 106.92 150.54  58.93
 8.5 220 120.01 139.31  24.50
 8.5 220 189.52 128.24  40.03

#END#   =================================================================================================================================================================================================================================================================================================
